odor,reward,mbon_output,veto_value,gating_factor,rpe,dopamine,weight_change_magnitude,replicate,seed
DA1,1.0,26.805153489234037,0.0,1.0,0.9301846018110245,0.9301846018110245,10.362597594293366,2,142
DL3,1.0,0.12871880569164676,0.0,1.0,0.9370374228242304,0.9370374228242304,0.016018753380210773,2,142
DA1,1.0,36.066995145637414,0.0,1.0,0.90726668539617,0.90726668539617,13.599599527783782,2,142
DL3,1.0,0.17223671735387772,0.0,1.0,0.9163677801391991,0.9163677801391991,0.02094708840837636,2,142
DA1,1.0,48.2219909529405,0.0,1.0,0.8765090111723387,0.8765090111723387,17.56639809671805,2,142
DL3,1.0,0.22852493462919624,0.0,1.0,0.8886295851204757,0.8886295851204757,0.026937572492415206,2,142
DA1,1.0,0.04259706456800439,0.0,1.0,0.6860684812123831,0.6860684812123831,0.0121456806092653,3,242
DL3,1.0,0.00012083679930650008,0.0,1.0,0.7174615122543455,0.7174615122543455,9.160650532984643e-05,3,242
DA1,1.0,0.05345267982075609,0.0,1.0,0.7456619083490903,0.7456619083490903,0.01656484457539946,3,242
DL3,1.0,0.00017157335957712746,0.0,1.0,0.7710955459408217,0.7710955459408217,0.00010270344888685748,3,242
DA1,1.0,0.06825804878683683,0.0,1.0,0.7939177332979527,0.7939177332979527,0.02252196816271921,3,242
DL3,1.0,0.0002410998087298558,0.0,1.0,0.8145257188683487,0.8145257188683487,0.00011425247339525166,3,242
DA1,1.0,0.08838776210901404,0.0,1.0,0.8329847592194048,0.8329847592194048,0.030598986222040412,3,242
DL3,1.0,0.0003361875223568622,0.0,1.0,0.849685947109942,0.849685947109942,0.0001271241210820817,3,242
DA1,1.0,0.11573653014494471,0.0,1.0,0.8646016158688029,0.8646016158688029,0.04158771555914017,3,242
DL3,1.0,0.000466129873546179,0.0,1.0,0.8781409881520491,0.8781409881520491,0.00014256669850994563,3,242
DA1,1.0,0.1529067704078828,0.0,1.0,0.8901739825664363,0.8901739825664363,0.05656929387810933,3,242
DL3,1.0,0.0006436656453150039,0.0,1.0,0.9011559406441474,0.9011559406441474,0.00016240562522925947,3,242
DA1,1.0,0.20346719565394222,0.0,1.0,0.9108368793840788,0.9108368793840788,0.0770219685640501,3,242
DL3,1.0,0.0008862461581250064,0.0,1.0,0.9197523051995128,0.9197523051995128,0.00018926804973966964,3,242
DA1,1.0,0.27230774102253363,0.0,1.0,0.927504766938539,0.927504766938539,0.10496780390275913,3,242
DL3,1.0,0.001217770346291889,0.0,1.0,0.9347530724743389,0.9347530724743389,0.00022680637965045606,3,242
DA1,1.0,0.3661256145979004,0.0,1.0,0.9409116396123072,0.9409116396123072,0.14317236985347837,3,242
